Baixar;Tratar;Metadados;Renomear;V. final sharepoint;Sigla;Nome do arquivo;Título PT-BR;Descrição PT-BR;Legenda PT-BR;Texto alt PT-BR;Título Inglês;Descrição Inglês;Legenda Inglês;Texto alt Inglês;Título Espanhol;Descrição Espanhol;Legenda Espanhol ;Texto alt Espanhol;;
OK;OK;OK;;;FURG;FURG_02;"Pórtico metálico curvado com cobertura translúcida e a inscrição ""UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG"".";A imagem apresenta uma vista aérea panorâmica do complexo do Hospital Universitário Doutor Miguel Riet Corrêa Junior, ligado à FURG. Destacam-se as edificações hospitalares, avenidas circundantes com estacionamento de veículos e a paisagem urbana da cidade com o corpo d'água ao fundo sob luz solar intensa.;Vista aérea do Hospital Universitário da FURG em Rio Grande. Foto: Jorgito Santos/site FURG.;Vista aérea do complexo hospitalar universitário com prédios modernos, vias arborizadas, estacionamento de carros e mar ao fundo.;Aerial view of the Dr. Miguel Riet Corrêa Jr. University Hospital at FURG;The image presents a panoramic aerial view of the Dr. Miguel Riet Corrêa Jr. University Hospital complex, affiliated with FURG. It features hospital buildings, surrounding avenues with parking areas, and the urban landscape with the waterfront in the background under bright sunlight.;Aerial view of the FURG University Hospital in Rio Grande. Photo: Jorgito Santos/FURG website.;Aerial view of a university hospital complex with modern buildings, tree-lined streets, parking spaces, and the sea in the background.;Vista aérea del Hospital Universitario Dr. Miguel Riet Corrêa Jr. de la FURG;La imagen presenta una vista aérea panorámica del complejo del Hospital Universitario Doctor Miguel Riet Corrêa Junior, vinculado a la FURG. Destacan los edificios hospitalarios, avenidas circundantes con estacionamientos y el paisaje urbano de la ciudad con la costa al fondo bajo sol intenso.;Vista aérea del Hospital Universitario de la FURG en Rio Grande. Foto: Jorgito Santos/sitio web de FURG.;Vista aérea del complejo hospitalario universitario con edificios modernos, vías arboladas, aparcamiento de coches y mar al fondo.;;
OK;OK;OK;;;FURG;FURG_03;Portaria e acesso principal do campus Carreiros da FURG;"A imagem mostra a portaria de acesso ao campus Carreiros da Universidade Federal do Rio Grande. Em primeiro plano à direita, destaca-se um totem com o logotipo e a sigla ""FURG"", acompanhado por mastros com as bandeiras do Brasil, do Rio Grande do Sul e da universidade hasteadas.";Portaria de acesso ao campus Carreiros da FURG. Foto: Altemir Vianna/site FURG.;Portaria de entrada do campus com totem vertical da FURG e mastros com bandeiras hasteadas ao lado de via de circulação.;Main entrance gate of the FURG Carreiros campus;"The image shows the main entrance gate to the Carreiros campus of the Federal University of Rio Grande. In the foreground on the right, a totem sign displays the logo and acronym ""FURG"", alongside flagpoles flying the flags of Brazil, Rio Grande do Sul, and the university.";Entrance gate to the FURG Carreiros campus. Photo: Altemir Vianna/FURG website.;Campus entrance gate featuring a vertical FURG totem sign and flagpoles with raised flags beside an access road.;Portó con garita de entrada del campus Carreiros de la FURG;"La imagen muestra la portaría de acceso al campus Carreiros de la Universidad Federal de Rio Grande. En primer plano a la derecha, destaca un tótem con el logotipo y la sigla ""FURG"", junto a mástiles con las banderas de Brasil, de Rio Grande do Sul y de la universidad.";Portaría de acceso al campus Carreiros de la FURG. Foto: Altemir Vianna/sitio web de FURG.;Portaría de entrada al campus con tótem vertical de la FURG y mástiles con banderas izadas junto a la vía de acceso.;;
OK;;OK;;;FURG;FURG_04;Prédio do Restaurante Universitário (RU) da FURG;A imagem mostra a fachada do Restaurante Universitário no campus da Universidade Federal do Rio Grande. O prédio moderno apresenta cores contrastantes em amarelo e terracota, grandes janelas de vidro e uma área externa com bancos de madeira, postes de iluminação e calçamento de acesso.;Fachada do Restaurante Universitário (RU) no campus da FURG. Foto: site FURG.;"Prédio colorido em amarelo e terracota com a sigla ""RU"" na fachada, cercado por bancos de madeira e postes de iluminação.";University Restaurant (RU) building at FURG;The image shows the facade of the University Restaurant on the Federal University of Rio Grande campus. The modern building features contrasting yellow and terracotta walls, large glass windows, and an outdoor area with wooden benches, lamp posts, and a paved walkway.;Facade of the University Restaurant (RU) on the FURG campus. Photo: FURG website.;"Colorful yellow and terracotta building with the acronym ""RU"" on the facade, surrounded by wooden benches and light posts.";Edificio del Restaurante Universitario (RU) de la FURG;La imagen muestra la fachada del Restaurante Universitario en el campus de la Universidad Federal de Rio Grande. El edificio moderno presenta paredes en contraste de amarillo y terracota, ventanales de vidrio y un área exterior con bancos de madera, farolas y un camino pavimentado.;Fachada del Restaurante Universitario (RU) en el campus de la FURG. Foto: sitio web de FURG.;"Edificio colorido en amarillo y terracota con la sigla ""RU"" en la fachada, rodeado de bancos de madera y farolas.";;
OK;;;;;UFABC;UFABC_00;;;;;;;;;;;;;;
OK;;;;;UFABC;UFABC_01;;;;;;;;;;;;;;
OK;;;;;UFABC;UFABC_02;;;;;;;;;;;;;;
OK;;;;;UFABC;UFABC_03;;;;;;;;;;;;;;
OK;;;;;UFABC;UFABC_04;;;;;;;;;;;;;;
OK;OK;OK;OK;OK;UFAC;UFAC_00;Logomarca oficial da Universidade Federal do Acre (Ufac);"A imagem exibe a logomarca oficial da Universidade Federal do Acre sobre fundo branco. A marca é composta pela sigla ""Ufac"" em letras azuis ao lado do brasão estilizado em tons de azul e amarelo.";Logomarca oficial da Universidade Federal do Acre. Foto: site Ufac.;"Logomarca da Ufac composta pelo texto ""Ufac"" em azul e um escudo estilizado nas cores azul e amarela.";Official logo of the Federal University of Acre (Ufac);"The image displays the official logo of the Federal University of Acre on a white background. The brand consists of the acronym ""Ufac"" in blue text alongside a stylized shield emblem in blue and yellow.";Official logo of the Federal University of Acre. Photo: Ufac website.;"Ufac logo featuring the blue text ""Ufac"" next to a stylized blue and yellow shield emblem.";Logotipo oficial de la Universidad Federal de Acre (Ufac);"La imagen muestra el logotipo oficial de la Universidad Federal de Acre sobre fondo blanco. La marca está compuesta por la sigla ""Ufac"" en texto azul junto a un escudo estilizado en tonos azul y amarillo.";Logotipo oficial de la Universidad Federal de Acre. Foto: sitio web de Ufac.;"Logotipo de Ufac compuesto por el texto ""Ufac"" en azul y un escudo estilizado en colores azul y amarillo.";;
OK;OK;OK;OK;OK;UFAC;UFAC_01;Pórtico de entrada principal do campus da Universidade Federal do Acre;A imagem mostra a guarita e pórtico de entrada do campus universitário em dia ensolarado. A estrutura moderna conta com letras em relevo com o nome da instituição em vermelho sobre pórtico branco, ao lado de guarita revestida em pastilhas vermelhas.;Pórtico de entrada do campus da Universidade Federal do Acre. Foto: site Ufac.;"Pórtico branco de entrada com o letreiro ""UNIVERSIDADE FEDERAL DO ACRE"" em vermelho e guarita de pastilhas vermelhas.";Main entrance gate on the Federal University of Acre campus;The image displays the main entrance gate and security booth of the university campus on a sunny day. The modern structure features red lettering with the institution's name on a white archway next to a red-tiled booth.;Main entrance gate of the Federal University of Acre campus. Photo: Ufac website.;"White entrance archway with red text ""UNIVERSIDADE FEDERAL DO ACRE"" alongside a red-tiled security booth.";Pórtico de entrada principal del campus de la Universidad Federal de Acre;La imagen muestra la garita y pórtico de acceso al campus universitario en un día soleado. La estructura moderna cuenta con letras rojas en relieve con el nombre de la institución sobre un pórtico blanco junto a una garita de azulejos rojos.;Pórtico de entrada al campus de la Universidad Federal de Acre. Foto: sitio web de Ufac.;"Pórtico de entrada blanco con el letrero ""UNIVERSIDADE FEDERAL DO ACRE"" en rojo y garita revestida de azulejos rojos.";;
OK;OK;OK;OK;OK;UFAC;UFAC_02;Quiosque Recanto das Capivaras;A imagem destaca o Quiosque Recanto das Capivaras, área de convivência ao ar livre no campus universitário ao lado do lago. O ambiente é cercado por vegetação e gramado verde, oferecendo um espaço acolhedor para a comunidade acadêmica.;Quiosque Recanto das Capivaras na Universidade Federal do Acre. Foto: site Ufac.;Quiosque Recanto das Capivaras com teto cônico ao lado de lago e gramado no campus universitário.;Recanto das Capivaras kiosk on the Ufac campus;The image highlights the Recanto das Capivaras kiosk, an outdoor gathering area on the university campus located beside the lake. Surrounded by rich vegetation and green lawns, it offers a welcoming space for students and staff.;Recanto das Capivaras kiosk at the Federal University of Acre. Photo: Ufac website.;Recanto das Capivaras conical kiosk next to a lake surrounded by trees and lawn on campus.;Quiosco Recanto das Capivaras en el campus de la Ufac;La imagen destaca el quiosco Recanto das Capivaras, un área de convivencia al aire libre en el campus universitario junto al lago. Rodeado de vegetación y césped verde, ofrece un espacio acogedor para la comunidad académica.;Quiosco Recanto das Capivaras en la Universidad Federal de Acre. Foto: sitio web de Ufac.;Quiosco Recanto das Capivaras con techo cónico junto a un lago rodeado de árboles y césped.;;
OK;OK;OK;OK;OK;UFAC;UFAC_03;Fachada do Teatro Universitário no campus da Ufac;A imagem mostra a fachada moderna do Teatro Universitário ao anoitecer, com iluminação suave destacando a entrada do prédio. A estrutura de paredes brancas e marquise ampla é um espaço cultural de destaque no campus.;Fachada do Teatro Universitário no campus da Ufac. Foto: site Ufac.;"Fachada moderna iluminada do Teatro Universitário com o letreiro ""TEATRO UNIVERSITÁRIO"" no topo ao anoitecer.";University Theater facade on the Ufac campus;The image displays the modern facade of the University Theater at dusk, with soft lighting highlighting the entrance. Featuring white walls and a large canopy, the building serves as a prominent cultural space on campus.;Facade of the University Theater at the Ufac campus. Photo: Ufac website.;"Illuminated modern facade of the University Theater with sign reading ""TEATRO UNIVERS"" at dusk.";Fachada del Teatro Universitario en el campus de la Ufac;La imagen muestra la fachada moderna del Teatro Universitario al anochecer, con una iluminación suave que destaca la entrada. Su estructura de paredes blancas y marquesina amplia constituye un espacio cultural clave en el campus.;Fachada del Teatro Universitario en el campus de la Ufac. Foto: sitio web de Ufac.;"Fachada moderna e iluminada del Teatro Universitario con el letrero ""TEATRO UNIVERS"" en la parte superior al anochecer.";;
OK;OK;OK;OK;OK;UFAC;UFAC_04;Anfiteatro Garibaldi Brasil no campus da Ufac;A imagem mostra a fachada do Anfiteatro Garibaldi Brasil, com arquitetura moderna marcada por pilares cinzas e paredes em tom avermelhado. Cercado por palmeiras e vegetação tropical, o espaço acolhe eventos acadêmicos e culturais.;Fachada do Anfiteatro Garibaldi Brasil no campus da Ufac. Foto: site Ufac.;Prédio do Anfiteatro Garibaldi Brasil com arcos e pilares cinzas, paredes vermelhas e palmeiras ao redor.;Garibaldi Brasil Amphitheater on the Ufac campus;The image shows the facade of the Garibaldi Brasil Amphitheater, featuring modern architecture with gray pillars and reddish walls. Surrounded by palm trees and tropical vegetation, the venue hosts academic and cultural events.;Facade of the Garibaldi Brasil Amphitheater at the Ufac campus. Photo: Ufac website.;Garibaldi Brasil Amphitheater building with gray arches, pillars, red walls, and palm trees in the background.;Anfiteatro Garibaldi Brasil en el campus de la Ufac;La imagen muestra la fachada del Anfiteatro Garibaldi Brasil, caracterizado por una arquitectura moderna con pilares grises y paredes en tono rojizo. Rodeado de palmeras y vegetación tropical, acoge eventos académicos y culturales.;Fachada del Anfiteatro Garibaldi Brasil en el campus de la Ufac. Foto: sitio web de Ufac.;Edificio del Anfiteatro Garibaldi Brasil con arcos y pilares grises, paredes rojas y palmeras alrededor.;;
;;OK;;;UFAL;UFAL_00;Brasão e logomarca da Universidade Federal de Alagoas;"A imagem apresenta o brasão oficial da Universidade Federal de Alagoas sobre fundo preto. O escudo traz tochas com chamas vermelhas, peixes e o lema ""Scientia Ad Sapientiam"" em faixa vermelha.";Brasão e logomarca da Universidade Federal de Alagoas. Foto: site Ufal.;"Brasão da Ufal com tochas acesas, três peixes no escudo e o lema ""Scientia Ad Sapientiam"" sobre fundo preto.";Coat of arms and logo of the Federal University of Alagoas;"The image shows the official coat of arms of the Federal University of Alagoas on a black background. The shield features flaming torches, fish, and the motto ""Scientia Ad Sapientiam"" on a red ribbon above the acronym ""UFAL"".";Coat of arms and logo of the Federal University of Alagoas. Photo: Ufal website.;"Ufal coat of arms featuring flaming torches, three fish on a shield, and the motto ""Scientia Ad Sapientiam"".";Escudo y logotipo de la Universidad Federal de Alagoas;"La imagen presenta el escudo oficial de la Universidad Federal de Alagoas sobre fondo negro. El blasón incluye antorchas encendidas, peces y el lema ""Scientia Ad Sapientiam"" en una cinta roja, sobre la sigla ""UFAL"".";Escudo y logotipo de la Universidad Federal de Alagoas. Foto: sitio web de Ufal.;"Escudo de la Ufal con antorchas encendidas, tres peces en el blasón y el lema ""Scientia Ad Sapientiam"".";;
OK;;OK;OK;OK;UFAL;UFAL_01;Pórtico e portão de entrada do campus da Ufal;"A imagem mostra a entrada principal do campus universitário com portão de ferro azul e a sigla ""UFAL"" em destaque no centro. Árvores frondosas cercam o acesso e a guarita ao fundo, em um ambiente arborizado.";Portão de entrada do campus da Universidade Federal de Alagoas. Foto: site Ufal.;"Portão de ferro azul com a sigla ""UFAL"" centralizada na entrada do campus cercado por grandes árvores.";Entrance gate and sign at the Ufal campus;"The image displays the main entrance to the university campus featuring a blue iron gate and a prominent ""UFAL"" sign in the center. Large trees surround the access road and security booth in the background.";Entrance gate to the Federal University of Alagoas campus. Photo: Ufal website.;"Blue iron entrance gate with the acronym ""UFAL"" in the center, surrounded by large trees on campus.";Pórtico y portón de entrada del campus de la Ufal;"La imagen muestra la entrada principal al campus universitario con un portón de hierro azul y la sigla ""UFAL"" destacada en el centro. Árboles frondosos rodean el acceso y la garita al fondo en un entorno verde.";Portón de entrada al campus de la Universidad Federal de Alagoas. Foto: sitio web de Ufal.;"Portón de hierro azul con la sigla ""UFAL"" en el centro en la entrada del campus rodeado de árboles frondosos.";;
OK;OK;OK;OK;OK;UFAL;UFAL_02;Fachada do Restaurante Universitário no campus da Ufal;A imagem destaca a entrada principal do Restaurante Universitário, com estrutura moderna, amplas janelas de vidro e letreiro na fachada. O espaço oferece suporte à comunidade acadêmica em um ambiente arborizado e acessível.;Fachada do Restaurante Universitário no campus da Ufal. Foto: site Ufal.;"Prédio moderno com fachada branca e letreiro ""RESTAURANTE UNIVERSITÁRIO"" acima da entrada de vidro.";University Restaurant facade on the Ufal campus;The image highlights the main entrance of the University Restaurant, featuring a modern structure, large glass windows, and a clear facade sign. The facility supports the academic community in a green and accessible environment.;Facade of the University Restaurant on the Ufal campus. Photo: Ufal website.;"Modern white building with the sign ""RESTAURANTE UNIVERSITÁRIO"" above glass entrance doors.";Fachada del Restaurante Universitario en el campus de la Ufal;La imagen destaca la entrada principal del Restaurante Universitario, con una estructura moderna, amplios ventanales de vidrio y letrero en la fachada. El espacio brinda atención a la comunidad académica en un entorno arbolado.;Fachada del Restaurante Universitario en el campus de la Ufal. Foto: sitio web de Ufal.;"Edificio moderno de fachada blanca con el letrero ""RESTAURANTE UNIVERSITÁRIO"" sobre la entrada de vidrio.";;
OK;OK;OK;OK;OK;UFAL;UFAL_03;Vista do Complexo Esportivo no campus da Ufal;A imagem mostra a pista de atletismo vermelha em curva ao redor do campo de futebol do complexo esportivo. Ao fundo, veem-se as instalações de apoio e o ginásio, destinados às atividades físicas universitárias.;Complexo Esportivo no campus da Ufal. Foto: site Ufal.;Pista de atletismo vermelha com instalações ao fundo.;View of the Sports Complex on the Ufal campus;The image shows the red running track curving around the soccer field at the sports complex. In the background, support facilities and the gymnasium are visible for athletic activities.;Sports Complex on the Ufal campus. Photo: Ufal website.;Red running track surrounding a green soccer field with sports facilities in the background.;Vista del Complejo Deportivo en el campus de la Ufal;La imagen muestra la pista de atletismo roja bordeando el campo de fútbol del complejo deportivo. Al fondo, se observan las instalaciones de apoyo y el gimnasio para la práctica deportiva universitaria.;Complejo Deportivo en el campus de la Ufal. Foto: sitio web de Ufal.;Pista de atletismo roja alrededor de un campo de fútbol verde con instalaciones deportivas al fondo.;;
OK;OK;OK;;;UFAL;UFAL_04;Fachada da Biblioteca Central no campus da Ufal;A imagem mostra quatro estudantes de costas caminhando por um caminho pavimentado em direção ao prédio da Biblioteca Central. A fachada da edificação se destaca por suas colunas verticais de concreto e janelas espelhadas sob o sol.;Fachada da Biblioteca Central no campus da Ufal. Foto: site Ufal.;Quatro estudantes com mochilas caminham em direção ao prédio da Biblioteca Central com brises verticais na fachada.;Students walking towards the Central Library on the Ufal campus;The image displays four students seen from behind walking along a paved path toward the Central Library building. The facility features prominent vertical concrete pillars and large windows under a clear sky.;Facade of the Central Library on the Ufal campus. Photo: Ufal website.;Four students carrying backpacks walk towards the Central Library building with vertical concrete pillars on its facade.;Estudiantes caminando hacia la Biblioteca Central en el campus de la Ufal;La imagen muestra a cuatro estudiantes de espaldas caminando por un sendero pavimentado hacia el edificio de la Biblioteca Central. La fachada destaca por sus columnas verticales de hormigón y ventanales reflejantes bajo el sol.;Fachada de la Biblioteca Central en el campus de la Ufal. Foto: sitio web de Ufal.;Cuatro estudiantes con mochilas caminan hacia el edificio de la Biblioteca Central con pilares verticales en su fachada.;;
;;OK;;;UFAM;UFAM_00;Brasão oficial da Universidade Federal do Amazonas (Ufam);"A imagem apresenta o brasão circular da Universidade Federal do Amazonas. A arte contém ramos verdes com frutos vermelhos ao redor do encontro dos rios, com o nome da instituição no topo e o lema ""In Universa Scientia Veritas"" na parte inferior.";Brasão oficial da Universidade Federal do Amazonas. Foto: site Ufam.;"Brasão circular da Ufam com ramos verdes, traços do encontro dos rios e o lema ""In Universa Scientia Veritas"".";Official coat of arms of the Federal University of Amazonas (Ufam);The image displays the circular coat of arms of the Federal University of Amazonas. The emblem features green branches with red berries surrounding a river confluence drawing, with the university's name at the top and its motto at the bottom.;Official coat of arms of the Federal University of Amazonas. Photo: Ufam website.;"Circular Ufam coat of arms featuring green branches, river confluence lines, and the motto ""In Universa Scientia Veritas"".";Escudo oficial de la Universidad Federal de Amazonas (Ufam);La imagen muestra el escudo circular de la Universidad Federal de Amazonas. La insignia presenta ramas verdes con frutos rojos alrededor de la confluencia de ríos, con el nombre de la institución en la parte superior y su lema en la inferior.;Escudo oficial de la Universidad Federal de Amazonas. Foto: sitio web de Ufam.;"Escudo circular de la Ufam con ramas verdes, líneas del encuentro de ríos y el lema ""In Universa Scientia Veritas"".";;
OK;OK;OK;OK;OK;UFAM;UFAM_01;Pórtico de entrada do campus da Universidade Federal do Amazonas;"A imagem mostra o pórtico verde de entrada do campus universitário com a inscrição ""UFAM"" e a frase ""Desde 1909 - Nosso Maior Patrimônio"". A estrutura em arco dá acesso a uma via asfaltada cercada por densa vegetação amazônica.";Pórtico de entrada do campus da Universidade Federal do Amazonas. Foto: site Ufam.;"Pórtico em arco verde com os dizeres ""UFAM - Desde 1909 - Nosso Maior Patrimônio"" na entrada de via cercada por árvores.";Entrance archway on the Federal University of Amazonas campus;"The image shows the green entrance archway to the university campus featuring the acronym ""UFAM"" and the text ""Desde 1909 - Nosso Maior Patrimônio"". The arched structure spans a paved road surrounded by dense Amazonian vegetation.";Entrance archway of the Federal University of Amazonas campus. Photo: Ufam website.;"Green entrance archway displaying ""UFAM - Desde 1909 - Nosso Maior Patrimônio"" over a road lined with trees.";Pórtico de entrada del campus de la Universidad Federal de Amazonas;"La imagen muestra el pórtico verde de acceso al campus universitario con la sigla ""UFAM"" y la frase ""Desde 1909 - Nosso Maior Patrimônio"". La estructura en arco da entrada a una vía asfaltada rodeada de densa vegetación amazónica.";Pórtico de entrada al campus de la Universidad Federal de Amazonas. Foto: sitio web de Ufam.;"Pórtico en arco verde con el texto ""UFAM - Desde 1909 - Nosso Maior Patrimônio"" en la entrada de una vía arbolada.";;
OK;OK;OK;OK;OK;UFAM;UFAM_02;Prédio da Reitoria no campus da Universidade Federal do Amazonas;"A imagem mostra a fachada do prédio da Reitoria da Ufam revestida em pastilhas azuis com o brasão oficial e o letreiro ""UFAM REITORIA"". A edificação administrativa conta com pavimentos modernos e é cercada por palmeiras e vegetação nativa.";Prédio da Reitoria no campus da Universidade Federal do Amazonas. Foto: site Ufam.;"Fachada azul de prédio com o brasão oficial e a inscrição ""UFAM REITORIA"" cercada por palmeiras e vegetação.";Rectory building on the Federal University of Amazonas campus;"The image shows the facade of the Ufam Rectory building covered in blue tiles with the official crest and the text ""UFAM REITORIA"". The administrative facility features a modern structure surrounded by palm trees and native vegetation.";Rectory building at the Federal University of Amazonas campus. Photo: Ufam website.;"Blue building facade displaying the official emblem and text ""UFAM REITORIA"", surrounded by palm trees.";Edificio del Rectorado en el campus de la Universidad Federal de Amazonas;"La imagen muestra la fachada del edificio del Rectorado de la Ufam revestida con azulejos azules, el escudo oficial y la inscripción ""UFAM REITORIA"". La estructura administrativa es moderna y está rodeada de palmeras y vegetación.";Edificio del Rectorado en el campus de la Universidad Federal de Amazonas. Foto: sitio web de Ufam.;"Fachada azul de edificio con el escudo oficial y el texto ""UFAM REITORIA"" rodeada de palmeras y vegetación.";;
OK;OK;OK;OK;OK;UFAM;UFAM_03;Centro comum de conveniência no campus da Ufam;A imagem retrata o amplo hall de convivência do campus universitário com grandes paredes azuis e estrutura metálica. Estudantes circulam pelo espaço, interagem em mesas e observam quadros de uma exposição fotográfica à direita.;Centro comum de conveniência do campus da Universidade Federal do Amazonas. Foto: site Ufam.;Amplo hall universitário com paredes azuis, estudantes caminhando e quadros expositivos alinhados à direita.;Student hall and exhibition space on the Ufam campus;The image depicts a spacious student hall on the university campus featuring large blue walls and a metal structure. Students walk around, interact at tables, and view photo frames from an exhibition on the right.;Student hall at the Federal University of Amazonas campus. Photo: Ufam website.;Spacious university hall with blue walls, walking students, and photo exhibition frames lined up on the right.;Hall de convivencia y exposición en el campus de la Ufam;La imagen retrata el amplio hall de convivencia del campus universitario con grandes paredes azules y estructura metálica. Los estudiantes transitan por el espacio, interactúan en mesas y observan cuadros de una exposición.;Hall de convivencia del campus de la Universidad Federal de Amazonas. Foto: sitio web de Ufam.;Amplio hall universitario con paredes azules, estudiantes caminando y cuadros de exposición alineados a la derecha.;;
OK;OK;OK;OK;OK;UFAM;UFAM_04;Restaurante Universitário do Setor Sul no campus de Manaus da Ufam;A imagem mostra a área interna do Restaurante Universitário no Setor Sul do campus de Manaus. Estudantes aparecem sentados à mesa fazendo refeições e conversando em um refeitório amplo, bem iluminado e organizado.;Interior do Restaurante Universitário do Setor Sul na Ufam. Foto: site Ufam.;Estudantes sentados em mesas brancas fazendo refeições no refeitório amplo do Restaurante Universitário da Ufam.;South Sector University Restaurant on the Ufam Manaus campus;The image shows the dining area inside the South Sector University Restaurant on the Manaus campus. Students are seated at tables eating meals and conversing in a spacious, well-lit cafeteria.;Interior of the South Sector University Restaurant at Ufam. Photo: Ufam website.;Students seated at white tables having meals inside the spacious dining hall of the Ufam University Restaurant.;Restaurante Universitario del Sector Sur en el campus de Manaos de la Ufam;La imagen muestra el interior del Restaurante Universitario en el Sector Sur del campus de Manaos. Se observa a estudiantes sentados comiendo y conversando en un comedor amplio, bien iluminado y organizado.;Interior del Restaurante Universitario del Sector Sur en la Ufam. Foto: sitio web de Ufam.;Estudiantes sentados en mesas blancas comiendo en el comedor amplio del Restaurante Universitario de la Ufam.;;
OK;;;;;UFAPE;UFAPE_00;;;;;;;;;;;;;;
OK;;;;;UFAPE;UFAPE_01;;;;;;;;;;;;;;
OK;;;;;UFAPE;UFAPE_02;;;;;;;;;;;;;;
OK;;;;;UFAPE;UFAPE_03;;;;;;;;;;;;;;
OK;;;;;UFAPE;UFAPE_04;;;;;;;;;;;;;;
